Customer ID,TotItem,avgSpent,Nsessions,TotSpent,Max,Min,DistinctItem,MaxItem,MinItem,avgItemSession,avgSpentMonth,NSessionsMonth,MeanItemMonth,MaxSessionsMonth
12346.0,44,31.22666666666667,6,187.36,142.31,4.5,25,19,5,7.333333333333333,15.613333333333335,0.5,3.6666666666666665,6
12347.0,759,74.15,2,148.3,87.69,60.61,67,506,253,379.5,12.358333333333334,0.16666666666666666,63.25,10
12348.0,469,8.295,2,16.59,14.39,2.2,20,373,96,234.5,1.3825,0.16666666666666666,39.083333333333336,12
12349.0,914,138.495,2,276.99,163.76,113.23,77,459,455,457.0,23.0825,0.16666666666666666,76.16666666666667,10
12351.0,260,36.71,1,36.71,36.71,36.71,20,260,260,260.0,3.0591666666666666,0.08333333333333333,21.666666666666668,11
12352.0,187,20.924999999999997,2,41.85,29.4,12.45,17,110,77,93.5,3.4874999999999994,0.16666666666666666,15.583333333333334,12
12353.0,192,38.78,1,38.78,38.78,38.78,20,192,192,192.0,3.231666666666667,0.08333333333333333,16.0,10
12355.0,661,39.983333333333334,6,239.9,103.7,8.5,70,253,28,110.16666666666667,19.991666666666667,0.5,55.083333333333336,10
12356.0,622,29.816666666666666,3,89.45,40.13,11.45,46,383,48,207.33333333333334,7.454166666666667,0.25,51.833333333333336,11
12357.0,1737,279.78000000000003,1,279.78000000000003,279.78000000000003,279.78000000000003,114,1737,1737,1737.0,23.315,0.08333333333333333,144.75,11
12358.0,297,48.17,2,96.34,75.74000000000001,20.599999999999998,32,232,65,148.5,8.028333333333334,0.16666666666666666,24.75,11
12359.0,484,61.355000000000004,4,245.42000000000002,69.39,42.85,69,246,52,121.0,20.451666666666668,0.3333333333333333,40.333333333333336,10
12360.0,987,38.77333333333333,3,116.32,67.07,14.6,68,535,100,329.0,9.693333333333333,0.25,82.25,12
12361.0,141,11.299999999999999,3,33.9,13.5,8.25,13,60,37,47.0,2.8249999999999997,0.25,11.75,9
12368.0,146,30.7,1,30.7,30.7,30.7,10,146,146,146.0,2.558333333333333,0.08333333333333333,12.166666666666666,3
12369.0,1106,50.803333333333335,3,152.41,124.81,10.049999999999999,86,901,85,368.6666666666667,12.700833333333334,0.25,92.16666666666667,10
12370.0,904,55.818,5,279.09000000000003,188.38,3.2,106,624,20,180.8,23.257499999999997,0.4166666666666667,75.33333333333333,12
12371.0,836,100.61666666666667,3,301.85,201.02,35.17,90,587,80,278.6666666666667,25.15416666666667,0.25,69.66666666666667,10
12373.0,313,40.6,2,81.2,42.15,39.050000000000004,29,204,109,156.5,6.766666666666667,0.16666666666666666,26.083333333333332,4
12374.0,595,42.0,2,84.0,49.0,35.0,34,390,205,297.5,7.0,0.16666666666666666,49.583333333333336,10
12376.0,57,18.55,1,18.55,18.55,18.55,7,57,57,57.0,1.5458333333333334,0.08333333333333333,4.75,10
12377.0,1507,78.60000000000001,3,235.8,95.9,49.33,100,604,320,502.3333333333333,19.650000000000002,0.25,125.58333333333333,12
12378.0,638,173.81,1,173.81,173.81,173.81,68,638,638,638.0,14.484166666666667,0.08333333333333333,53.166666666666664,5
12379.0,401,40.475,2,80.95,45.11,35.84,35,243,158,200.5,6.745833333333334,0.16666666666666666,33.416666666666664,10
12380.0,1632,92.5875,4,370.35,119.59,51.25,107,525,172,408.0,30.8625,0.3333333333333333,136.0,8
12383.0,615,33.26,1,33.26,33.26,33.26,34,615,615,615.0,2.7716666666666665,0.08333333333333333,51.25,12
12385.0,534,166.15,1,166.15,166.15,166.15,58,534,534,534.0,13.845833333333333,0.08333333333333333,44.5,11
12386.0,94,21.45,1,21.45,21.45,21.45,7,94,94,94.0,1.7874999999999999,0.08333333333333333,7.833333333333333,8
12387.0,132,7.91,1,7.91,7.91,7.91,8,132,132,132.0,0.6591666666666667,0.08333333333333333,11.0,10
